12,50000	13,33333	14,16667	15,00000	15,83333	16,66667	17,50000	18,33333	19,16667	20,00000	20,83333	21,66667	22,50000	23,33333	24,16667	25,00000	25,83333	26,66667	27,50000	28,33333	29,16667	30,00000	30,83333	31,66667	32,50000	33,33333	34,16667	35,00000	35,83333	36,66667	37,50000
12,50000	13,33333	14,16667	15,00000	15,83333	16,66667	17,50000	18,33333	19,16667	20,00000	20,83333	21,66667	22,50000	23,33333	24,16667	25,00000	25,83333	26,66667	27,50000	28,33333	29,16667	30,00000	30,83333	31,66667	32,50000	33,33333	34,16667	35,00000	35,83333	36,66667	37,50000
0,00024	0,00044	0,00027	0,00033	0,00057	0,00054	0,00052	0,00072	0,00074	0,00063	0,00057	0,00046	0,00034	0,00036	0,00035	0,00024	0,00018	0,00006	0,00007	0,00011	0,00038	0,00027	0,00000	-0,00003	-0,00009	0,00037	0,00040	0,00007	0,00013	0,00034	0,00094
0,00026	0,00021	0,00027	0,00037	0,00038	0,00038	0,00045	0,00060	0,00071	0,00066	0,00057	0,00043	0,00046	0,00042	0,00031	0,00017	0,00021	0,00011	0,00016	0,00004	0,00009	0,00005	0,00017	0,00021	0,00022	0,00008	0,00026	0,00025	0,00046	0,00051	0,00156
0,00020	0,00021	0,00027	0,00016	0,00020	0,00029	0,00043	0,00053	0,00070	0,00067	0,00051	0,00052	0,00055	0,00044	0,00029	0,00026	0,00013	0,00014	0,00018	0,00027	0,00030	0,00002	0,00008	0,00002	0,00037	0,00016	0,00007	0,00011	0,00068	0,00156	0,00187
0,00021	0,00040	0,00033	0,00026	0,00015	0,00024	0,00019	0,00040	0,00070	0,00045	0,00052	0,00056	0,00071	0,00069	0,00048	0,00025	0,00019	0,00013	-0,00003	-0,00002	0,00009	0,00038	0,00020	0,00037	0,00001	0,00010	0,00011	0,00071	0,00086	0,00247	0,00275
0,00016	0,00028	0,00030	0,00013	0,00001	0,00023	0,00033	0,00066	0,00054	0,00043	0,00059	0,00082	0,00086	0,00062	0,00035	0,00026	0,00017	0,00015	0,00007	0,00009	0,00012	-0,00009	0,00005	0,00042	0,00033	0,00015	0,00013	0,00090	0,00170	0,00297	0,00420
0,00014	0,00029	0,00020	0,00006	0,00014	0,00026	0,00031	0,00041	0,00039	0,00065	0,00080	0,00098	0,00091	0,00057	0,00037	0,00033	0,00028	0,00005	0,00006	0,00011	0,00018	0,00004	0,00020	0,00011	0,00031	0,00043	0,00081	0,00074	0,00258	0,00396	0,00499
0,00006	0,00023	0,00016	0,00016	0,00012	0,00023	0,00016	0,00032	0,00065	0,00080	0,00088	0,00088	0,00098	0,00109	0,00095	0,00066	0,00044	0,00034	0,00017	0,00010	0,00005	0,00011	0,00013	0,00023	0,00044	0,00065	0,00087	0,00110	0,00286	0,00504	0,00430
0,00010	0,00021	0,00015	0,00015	-0,00006	0,00017	0,00018	0,00036	0,00060	0,00066	0,00062	0,00092	0,00132	0,00146	0,00112	0,00063	0,00035	0,00020	0,00011	0,00019	0,00015	0,00007	0,00008	0,00032	0,00033	0,00122	0,00106	0,00174	0,00334	0,00530	0,00343
